model	nDCG	Recall	APLT
EASER_neighborhood=10020_l2_norm=900$0	0.07198705332783467	0.09306887788913916	0.074606381496447
EASER_neighborhood=10020_l2_norm=1400$0	0.07161076036751235	0.09266111035130334	0.07514978403232549
EASER_neighborhood=10020_l2_norm=1700$0	0.07151834019355698	0.09259804815225117	0.07540755190190888
EASER_neighborhood=10020_l2_norm=1300$0	0.07164759335378665	0.09269710496372266	0.07498954995123311
EASER_neighborhood=10020_l2_norm=140$0	0.07455913789878625	0.09518386737136234	0.07312944127072593
EASER_neighborhood=10020_l2_norm=3000$0	0.0714483889564208	0.09250706637846322	0.07572802006409363
EASER_neighborhood=10020_l2_norm=30$0	0.07470743017168238	0.09232295571459607	0.09336770238261113
EASER_neighborhood=10020_l2_norm=20$0	0.07400290467051818	0.09047502857241756	0.10555245924480981
EASER_neighborhood=10020_l2_norm=160$0	0.07435913532026817	0.09532801420806872	0.0727671729134736
EASER_neighborhood=10020_l2_norm=0$9	0.056395796357111866	0.06761291234098588	0.19083182388184478
EASER_neighborhood=10020_l2_norm=90$0	0.07530630911366276	0.0953773018068199	0.07583252055176258
EASER_neighborhood=10020_l2_norm=1200$0	0.07175763411036665	0.0927073559639416	0.07489201616274209
EASER_neighborhood=10020_l2_norm=100$0	0.07514732607577417	0.09545025862876656	0.07498258325205517
EASER_neighborhood=10020_l2_norm=0$1	0.04614023533960724	0.05958292609447815	0.19795179044168873
EASER_neighborhood=10020_l2_norm=70$0	0.07532819774170396	0.09492089729897246	0.07783892991500628
EASER_neighborhood=10020_l2_norm=200$0	0.07408628179374437	0.09508923888743472	0.07248850494635642
EASER_neighborhood=10020_l2_norm=60$0	0.0755397296394715	0.09506399840639793	0.07958060470948866
EASER_neighborhood=10020_l2_norm=650$0	0.07224977220142789	0.09305845799924317	0.07407691235892434
EASER_neighborhood=10020_l2_norm=0$8	0.05584795682066675	0.06740893636575533	0.19206492963633834
EASER_neighborhood=10020_l2_norm=300$0	0.07333872008558677	0.09416282358532731	0.07272537271840603
EASER_neighborhood=10020_l2_norm=0$4	0.05172972699820209	0.063874617738613	0.19659328410199248
EASER_neighborhood=10020_l2_norm=0$7	0.05498824444652843	0.0667567526674695	0.1931238679113836
EASER_neighborhood=10020_l2_norm=40$0	0.07520182423256726	0.09373981034854678	0.08659607078166365
EASER_neighborhood=10020_l2_norm=600$0	0.07227528754611118	0.09305152145893614	0.07394454507454369
EASER_neighborhood=10020_l2_norm=400$0	0.07285291390365031	0.09376976279912953	0.07323394175839486
EASER_neighborhood=10020_l2_norm=180$0	0.07417654396408259	0.09519793899787649	0.07253727184060192
EASER_neighborhood=10020_l2_norm=2000$0	0.07151388876157422	0.09261198155060703	0.07554688588546747
EASER_neighborhood=10020_l2_norm=0$3	0.050691105543041313	0.06321363581805187	0.19764525567785984
EASER_neighborhood=10020_l2_norm=1$0	0.057055088912706026	0.06825089887645744	0.18975198550926572
EASER_neighborhood=10020_l2_norm=550$0	0.07232530865795982	0.09311024078057867	0.07371464400167202
EASER_neighborhood=10020_l2_norm=1800$0	0.07151270981507274	0.09259804815225117	0.07547025219451024
EASER_neighborhood=10020_l2_norm=350$0	0.07298360153724891	0.09387168093347767	0.07306674097812457
EASER_neighborhood=10020_l2_norm=450$0	0.0725902903728285	0.09344383211145299	0.07343597603455482
EASER_neighborhood=10020_l2_norm=0$5	0.052909754973183475	0.06486640657733588	0.19519994426640658
EASER_neighborhood=10020_l2_norm=120$0	0.07501072851061777	0.09566294794040499	0.07381914448934096
EASER_neighborhood=10020_l2_norm=50$0	0.07558432329862556	0.09480955303909203	0.0822349170962798
EASER_neighborhood=10020_l2_norm=10$0	0.07134451580244647	0.08530546106451846	0.13131531280479308
EASER_neighborhood=10020_l2_norm=1600$0	0.07152328036607389	0.09256321465636153	0.07535878500766337
EASER_neighborhood=10020_l2_norm=1100$0	0.07181850344314497	0.09274716567352977	0.0748223491709628
EASER_neighborhood=10020_l2_norm=0$6	0.05398996126189074	0.06593373530158951	0.19440574056012264
EASER_neighborhood=10020_l2_norm=700$0	0.07220289574870253	0.09304269998919784	0.07418837954577122
EASER_neighborhood=10020_l2_norm=500$0	0.07246913182596522	0.09330248850313154	0.07358227671729135
EASER_neighborhood=10020_l2_norm=0$2	0.04874736551569628	0.06159272353869485	0.19818865821373835
EASER_neighborhood=10020_l2_norm=800$0	0.07213360964927289	0.0930320124393226	0.07441131391946496
EASER_neighborhood=10020_l2_norm=250$0	0.07369424973988689	0.09455694989548291	0.07259997213320328
EASER_neighborhood=10020_l2_norm=2500$0	0.07144997370911922	0.09248152181481081	0.07567925316984812
EASER_neighborhood=10020_l2_norm=80$0	0.07549105952558936	0.09548657996228727	0.07655705726626724
EASER_neighborhood=10020_l2_norm=750$0	0.07212845428248352	0.09297883858006682	0.07431378013097395
